what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1313961828997
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313961828997
java.vm.specification.version,sysinfo,,,"1.0",1313961828997
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1313961828997
java.vm.version,sysinfo,,,"20.1-b02",1313961828997
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313961834122
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1313961837065
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1313961837069
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1313961837070
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1313961837197
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1313961837255
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1313961837263
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1313961837282
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1313961837301
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313961844762
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1313961862002
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1313961862039
opened,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313961862269
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313961862307
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1313961862308
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1313961867471
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1313961867473
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1313961867919
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1313961867923
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313961869408
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313961942383
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1313961942390
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1313961942390
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1313961942495
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1313961942503
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313961952519
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313961959334
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313961964660
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313961987769
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1313961987775
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1313961987775
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313961993775
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313961997093
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313961997170
